Ronda;Equipo 1;Cant goles 1;Cant goles 2;Equipo 2
101;Qatar;0;2;Ecuador;
102;England;6;2;Iran;
103;Senegal;0;2;Netherlands;
104;USMNT;1;1;Wales;
105;Argentina;1;2;Saudi Arabia;
106;Denmark;0;0;Tunisia;
107;Mexico;0;0;Poland;
108;France;4;1;Australia;
109;Morocco;0;0;Croatia;
110;Germany;1;2;Japan;
111;Spain;7;0;Costa Rica;
112;Belgium;1;0;Canada;
113;Switzerland;1;0;Cameroon;
114;Uruguay;0;0;South Korea;
115;Portugal;3;2;Ghana;
116;Brazil;2;0;Serbia;
201;Wales;0;2;Iran;
202;Qatar;1;3;Senegal;
203;Netherlands;1;1;Ecuador;
204;England;0;0;USMNT;
205;Tunisia;0;1;Australia;
206;Poland;2;0;Saudi Arabia;
207;France;2;1;Denmark;
208;Argentina;2;0;Mexico;
209;Japan;0;1;Costa Rica;
210;Belgium;0;2;Morocco;
211;Croatia;4;1;Canada;
212;Spain;1;1;Germany;
213;Cameroon;3;3;Serbia;
214;South Korea;2;3;Ghana;
215;Brazil;1;0;Switzerland;
216;Portugal;2;0;Uruguay;
301;Ecuador;1;2;Senegal;
302;Netherlands;2;0;Qatar;
303;Wales;0;3;England;
304;Iran;0;1;USMNT;
305;Australia;1;0;Denmark;
306;Tunisia;1;0;France;
307;Saudi Arabia;1;2;Mexico;
308;Poland;0;2;Argentina;
309;Croatia;0;0;Belgium;
310;Canada;1;2;Morocco;
311;Japan;2;1;Spain;
312;Costa Rica;2;4;Germany;
313;Ghana;0;2;Uruguay;
314;South Korea;2;1;Portugal;
315;Cameroon;1;0;Brazil;
316;Serbia;2;3;Switzerland;
401;Netherlands;3;1;USMNT;
402;Argentina;2;1;Australia;
403;France;3;1;Poland;
404;England;3;0;Senegal;
405;Japan;1;1;Croatia;
406;Brazil;4;1;South Korea;
407;Morocco;0;0;Spain;
408;Portugal;6;1;Switzerland;
501;Croatia;1;1;Brazil;
502;Netherlands;2;2;Argentina;
503;Morocco;1;0;Portugal;
504;England;1;2;France;
601;Argentina;3;0;Croatia;
602;France;2;0;Morocco;
701;Croatia;2;1;Morocco;
702;Argentina;3;3;France;
